DateTime,Time [Ms],xRawValue,yRawValue,zRawValue
2024-12-09 13:11:19,10,1.079785,9.291897,11.626244
2024-12-09 13:11:19,113,-1.6998832,-6.9886746,9.509769
2024-12-09 13:11:19,125,0.49320555,9.301474,13.40753
2024-12-09 13:11:19,166,1.0295067,8.573636,12.785037
2024-12-09 13:11:19,180,-2.4588451,-6.7444663,7.9702973
2024-12-09 13:11:19,188,-0.7278373,-7.699753,9.085996
2024-12-09 13:11:19,197,2.2697031,1.6280571,15.406688
2024-12-09 13:11:19,205,0.9576807,8.813056,13.936648
2024-12-09 13:11:19,214,-0.842759,3.3063924,4.024653
2024-12-09 13:11:19,221,-3.1387985,-5.4563856,8.236053
2024-12-09 13:11:19,230,-1.2282255,-8.346188,8.224083
2024-12-09 13:11:19,237,0.49559975,1.1947067,15.466543
2024-12-09 13:11:19,246,1.0342951,8.025364,13.453019
2024-12-09 13:11:19,254,-1.3910311,4.369418,5.0613422
2024-12-09 13:11:19,261,-3.4332852,-5.8346696,7.264008
2024-12-09 13:11:19,269,-2.0709844,-8.056489,8.920795
2024-12-09 13:11:19,278,1.448492,1.0773908,15.286978
2024-12-09 13:11:19,286,0.9600749,8.276755,14.362816
2024-12-09 13:11:19,302,-2.7605145,-4.5034933,7.477092
2024-12-09 13:11:19,310,-0.34715924,-8.882488,8.12592
2024-12-09 13:11:19,318,1.1707647,0.40701428,15.337256
2024-12-09 13:11:19,326,1.5275006,7.36217,14.046782
2024-12-09 13:11:19,334,-1.0654198,5.377377,5.377377
2024-12-09 13:11:19,341,-3.5625722,-5.080496,6.777985
2024-12-09 13:11:19,350,-2.6767175,-8.154651,8.78672
2024-12-09 13:11:19,358,0.5674258,0.06464344,14.98052
2024-12-09 13:11:19,366,0.9816227,7.5561004,14.561535
2024-12-09 13:11:19,374,0.6512229,5.085284,4.747702
2024-12-09 13:11:19,389,-0.91697925,-8.848969,8.135497
2024-12-09 13:11:19,398,0.58657944,-0.4429273,15.21994
2024-12-09 13:11:19,406,1.3479356,6.8522053,14.360422
2024-12-09 13:11:19,414,-1.3694834,6.2943563,5.851429
2024-12-09 13:11:19,422,-3.5673606,-4.1180267,6.1938
2024-12-09 13:11:19,431,-3.0813377,-7.9846625,8.707711
2024-12-09 13:11:19,439,-0.02873042,-0.878672,14.705187
2024-12-09 13:11:19,447,0.8499416,6.8522053,14.808138
2024-12-09 13:11:19,454,0.45968673,5.695806,5.1259856
2024-12-09 13:11:19,463,-2.1068976,-3.110068,6.0836663
2024-12-09 13:11:19,481,-0.002394202,-1.2497733,15.049952
2024-12-09 13:11:19,496,0.4189853,6.871359,6.2632318
2024-12-09 13:11:19,505,-2.0709844,-3.5482068,5.5401826
2024-12-09 13:11:19,520,-1.043872,-1.7812861,14.568717
2024-12-09 13:11:19,529,0.5243302,6.069301,15.002068
2024-12-09 13:11:19,545,-1.5945383,-2.5067291,5.1810527
2024-12-09 13:11:19,560,0.35673606,-1.9752164,14.858416
2024-12-09 13:11:19,576,0.91937345,7.2185183,6.8545995
2024-12-09 13:11:19,591,-2.7581203,-7.323863,8.815451
2024-12-09 13:11:19,600,-2.3463178,-2.5306711,14.384364
2024-12-09 13:11:19,607,0.002394202,5.305551,15.263036
2024-12-09 13:11:19,616,0.49799395,6.232107,6.081272
2024-12-09 13:11:19,623,-2.2242134,-2.693477,3.881001
2024-12-09 13:11:19,639,0.20829555,-2.5139117,14.71237
2024-12-09 13:11:19,648,1.7645266,4.7500963,15.078682
2024-12-09 13:11:19,655,1.1707647,7.4387846,7.4244194
2024-12-09 13:11:19,671,-2.5594015,-6.667852,8.817844
2024-12-09 13:11:19,680,-2.408567,-3.229778,13.910312
2024-12-09 13:11:19,688,0.11492168,4.546589,15.401899
2024-12-09 13:11:19,730,0.02873042,4.189853,15.449783
2024-12-09 13:11:19,739,1.1468226,7.45315,8.075643
2024-12-09 13:11:19,754,-2.882619,-5.827487,8.762778
2024-12-09 13:11:19,763,-2.1212628,-3.8235402,13.359646
